route,file,type,words,inbound_pages,internal_links,external_links,title,description,h1_count,canonical,schema_types,has_author,has_visible_date,has_date_modified,has_sources,quality_score,failed_checks,duplicate_title,duplicate_description
/404,404.html,utility,27,0,8,1,Sayfa Bulunamadı | Psikolog Ata Pamukçu,Aradığınız sayfa bulunamadı. Ata Pamukçu psikolojik destek sayfasına dönün veya iletişime geçin.,1,,,1,0,0,0,75,canonical;schema;inbound,0,0
/act-bdt-farki,act-bdt-farki.html,clinical-guide,390,3,11,2,ACT ve BDT Arasındaki Fark | Psikolog Ata Pamukçu,"ACT ve BDT arasındaki fark nedir? Düşünceyle çalışma, kabul, değerler, davranış değişimi ve klinik kullanım açısından sade karşılaştırma.",1,https://www.atapamukcu.com/act-bdt-farki,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,1,1,0,83,sources;depth,0,0
/act-nedir,act-nedir.html,clinical-guide,703,9,16,5,ACT Nedir? Kabul ve Kararlılık Terapisi | Psikolog Ata Pamukçu,"ACT nedir? Kabul, bilişsel ayrışma, değerler ve psikolojik esneklik üzerinden çalışan terapi yaklaşımını sade ve klinik olarak doğru biçimde anlatır.",1,https://www.atapamukcu.com/act-nedir,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,1,1,1,100,,0,0
/anda-kalma,anda-kalma.html,clinical-guide,374,1,11,2,Anda Kalma ve Dikkat Becerisi | Psikolog Ata Pamukçu,"Anda kalma nedir? Kaygı, ruminasyon ve panik döngülerinde dikkatin geçmiş, gelecek ve beden arasında nasıl sıkıştığını açıklar.",1,https://www.atapamukcu.com/anda-kalma,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,0,0,0,67,visible_date;date_modified;sources;depth,0,0
/anksiyete-nedir,anksiyete-nedir.html,clinical-guide,745,4,11,5,Anksiyete Nedir? Belirtileri ve Türleri | Psikolog Ata Pamukçu,"Anksiyete nedir, kaygı bozuklukları nelerdir? Anksiyetenin bedensel, zihinsel ve davranışsal belirtileri, türleri ve destek süreci.",1,https://www.atapamukcu.com/anksiyete-nedir,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,1,1,1,100,,0,0
/antalya-kaygi-psikolog,antalya-kaygi-psikolog.html,clinical-guide,635,5,12,2,Kaygıyla Çalışma: Antalya ve Online Görüşme | Ata Pamukçu,"Kaygı, sürekli endişe ve kaçınma döngüsü için Antalya ve online görüşme süreci. Kaygıyla çalışmanın nasıl ilerlediğini sade biçimde öğrenin.",1,https://www.atapamukcu.com/antalya-kaygi-psikolog,Answer;Article;BreadcrumbList;Country;FAQPage;ListItem;Organization;Question,1,0,1,0,75,visible_date;sources;depth,0,0
/antalya-okb-psikolog,antalya-okb-psikolog.html,clinical-guide,653,5,12,2,OKB Döngüsüyle Çalışma: Antalya ve Online | Ata Pamukçu,"OKB, takıntılı düşünceler, kontrol etme ve güvence arama döngüsü için Antalya ve online görüşme sürecini sade biçimde öğrenin.",1,https://www.atapamukcu.com/antalya-okb-psikolog,Answer;Article;BreadcrumbList;Country;FAQPage;ListItem;Organization;Question,1,1,1,0,83,sources;depth,0,0
/antalya-online-psikolog,antalya-online-psikolog.html,trust-or-navigation,549,2,12,2,Antalya’dan Online Desteğe Başlama Rehberi | Ata Pamukçu,"Antalya’dan online psikolojik desteğe nasıl başlanır? Görüşme öncesi hazırlığı, uygunluk koşullarını ve yalnızca online yürütülen süreci inceleyin.",1,https://www.atapamukcu.com/antalya-online-psikolog,Article;BreadcrumbList;ListItem;Thing,0,0,1,0,100,,0,0
/antalya-panik-atak-psikolog,antalya-panik-atak-psikolog.html,clinical-guide,471,3,12,2,Antalya’da Panik Atak Desteği | Bedensel Alarm Döngüsü,"Antalya’da panik atak, panik bozukluk ve bedensel alarm döngüsü için psikolojik destek. Panik atağın nasıl sürdüğünü ve sürecin nasıl ilerlediğini öğrenin.",1,https://www.atapamukcu.com/antalya-panik-atak-psikolog,Answer;Article;BreadcrumbList;Country;FAQPage;ListItem;Organization;Question,1,0,1,0,75,visible_date;sources;depth,0,0
/antalya-psikolog,antalya-psikolog.html,service,836,4,16,2,Antalya Psikolog | Yalnızca Online Destek | Ata Pamukçu,"Antalya’da psikolog arayan yetişkinler için yalnızca online psikolojik destek. Çalışma alanlarını, uygunluğu ve ücretsiz değerlendirme seçeneğini inceleyin.",1,https://www.atapamukcu.com/antalya-psikolog,Answer;BreadcrumbList;City;FAQPage;ListItem;PeopleAudience;Question;Service;WebPage,1,1,1,0,100,,0,0
/antalya-sosyal-kaygi-psikolog,antalya-sosyal-kaygi-psikolog.html,clinical-guide,473,5,13,2,Antalya’da Sosyal Kaygıyla Çalışma | Psikolojik Destek,"Antalya’da sosyal kaygı, sosyal fobi, utanma, yargılanma korkusu ve sosyal kaçınma döngüsü için psikolojik destek sürecini öğrenin.",1,https://www.atapamukcu.com/antalya-sosyal-kaygi-psikolog,Answer;Article;BreadcrumbList;Country;FAQPage;ListItem;Organization;Question,1,0,1,0,75,visible_date;sources;depth,0,0
/araclar/islevsel-takip,araclar/islevsel-takip.html,interactive-tool,331,9,11,3,İşlevsel Takip Formu | Tarayıcıda Çalışan Psikolojik Araç,"Tetikleyici, davranış, kısa ve uzun vadeli sonuçları birden fazla olayda izleyin; kayıtları sunucuya göndermeden CSV olarak indirin.",1,https://www.atapamukcu.com/araclar/islevsel-takip,BreadcrumbList;ListItem;Organization;Person;SoftwareApplication,1,1,1,1,100,,0,0
/araclar/kaygi-dongusu-haritasi,araclar/kaygi-dongusu-haritasi.html,interactive-tool,197,8,12,0,Kaygı Döngüsü Haritası | Mini Psikolojik Araç,"Kaygı döngüsünü tetikleyici, düşünce, beden, davranış, rahatlama ve uzun vadeli maliyet olarak haritalayan yerel mini araç.",1,https://www.atapamukcu.com/araclar/kaygi-dongusu-haritasi,Person;SoftwareApplication,0,0,1,0,100,,0,0
/araclar/panik-atak-ani-plani,araclar/panik-atak-ani-plani.html,interactive-tool,173,3,11,0,Panik Atak Anı Planı | Mini Psikolojik Araç,"Panik atak anında okunabilecek kısa kişisel plan oluşturan, veriyi sunucuya göndermeyen yerel mini araç.",1,https://www.atapamukcu.com/araclar/panik-atak-ani-plani,Person;SoftwareApplication,0,0,1,0,100,,0,0
/araclar,araclar.html,trust-or-navigation,196,81,16,1,Psikolojik Araçlar | Kaygı ve Panik İçin Mini Haritalar,"Kaygı döngüsü, kaçınma, panik ve işlevsel takip için tarayıcıda çalışan; form içeriklerini sunucuya göndermeyen psikolojik çalışma araçları.",1,https://www.atapamukcu.com/araclar,CollectionPage;Person,0,0,1,0,92,depth,0,0
/basarisizlik-korkusu,basarisizlik-korkusu.html,clinical-guide,387,1,11,2,Başarısızlık Korkusu Nedir? | Psikolog Ata Pamukçu,"Başarısızlık korkusu nasıl çalışır? Denemekten kaçınma, erteleme, mükemmeliyetçilik ve benlik değeriyle ilişkisini açıklar.",1,https://www.atapamukcu.com/basarisizlik-korkusu,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,0,0,0,67,visible_date;date_modified;sources;depth,0,0
/baslangic,baslangic.html,clinical-guide,202,82,11,1,Başlangıç | Psikolojik Destek İçin İlk Adım,"Psikolojik destek sürecine ilk kez başlayacak kişiler için sade başlangıç rehberi: konu seçimi, ön görüşme, online süreç ve acil durum sınırı.",1,https://www.atapamukcu.com/baslangic,Person;WebPage,0,0,1,0,67,author;visible_date;sources;depth,0,0
/bdt-nedir,bdt-nedir.html,clinical-guide,507,6,12,5,BDT Nedir? Bilişsel Davranışçı Terapi | Psikolog Ata Pamukçu,"BDT nedir? Bilişsel Davranışçı Terapi yaklaşımını düşünce, duygu, beden ve davranış döngüleri üzerinden sade ve klinik olarak ölçülü biçimde açıklar.",1,https://www.atapamukcu.com/bdt-nedir,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,1,1,1,92,depth,0,0
/bilissel-ayrisma,bilissel-ayrisma.html,clinical-guide,768,5,12,6,Bilişsel Ayrışma Nedir? | Psikolog Ata Pamukçu,"Bilişsel ayrışma nedir? Düşünceleri bastırmadan, onların davranışı otomatik yönetme gücünü azaltmayı anlatan klinik rehber.",1,https://www.atapamukcu.com/bilissel-ayrisma,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;Thing,1,1,1,1,100,,0,0
/bilissel-carpitmalar,bilissel-carpitmalar.html,clinical-guide,804,2,11,4,Bilişsel Çarpıtmalar Nedir? | Psikolog Ata Pamukçu,"Bilişsel çarpıtmalar nedir? Örnekleri, düşünce-davranış döngüsünü, güvenli gözlem adımlarını ve yardım eşiğini kaynaklarla açıklıyor.",1,https://www.atapamukcu.com/bilissel-carpitmalar,Answer;Article;BreadcrumbList;FAQPage;ListItem;Question;SpeakableSpecification;Thing,1,1,1,1,100,,0,0
