cluster_id,query_cluster,target_canonical,country,device,action_date,intervention_type,hypothesis,baseline_source,last_outcome,next_allowed_intervention,commit,rollback,notes
QL001,değerler çalışması,https://www.atapamukcu.com/degerler-calismasi,TUR,desktop,2026-09-01,content_intent_trust,Close a documented intent/trust gap without changing the URL or canonical.,gsc,,different_class_after_28d,,,Migrated from measurements.csv: değerler çalışması
QL002,bilişsel ayrışma,https://www.atapamukcu.com/bilissel-ayrisma,TUR,mobile,2026-09-01,content_intent_trust,Close a documented intent/trust gap without changing the URL or canonical.,gsc,,different_class_after_28d,,,Migrated from measurements.csv: bilişsel ayrışma çekirdek sorgu kümesi
QL003,maruz bırakma terapisi nedir,https://www.atapamukcu.com/maruz-birakma-terapisi,TUR,mobile,2026-09-01,content_intent_trust,Close a documented intent/trust gap without changing the URL or canonical.,gsc,,different_class_after_28d,,,Migrated from measurements.csv: maruz bırakma terapisi çekirdek sorgu kümesi
QL004,yükseklik korkusu ve akrofobi çekirdek sorgu kümesi,https://www.atapamukcu.com/yukseklik-korkusu,TUR,mobile,2026-09-02,content_intent_trust,Close a documented intent/trust gap without changing the URL or canonical.,gsc,,different_class_after_28d,,,Migrated from measurements.csv: yükseklik korkusu ve akrofobi çekirdek sorgu kümesi
QL005,esnek davranmak ne demek,https://www.atapamukcu.com/psikolojik-esneklik,TUR,mobile,2026-09-02,content_intent_trust,Close a documented intent/trust gap without changing the URL or canonical.,gsc,,different_class_after_28d,,,Migrated from measurements.csv: esnek davranmak ne demek
QL006,yaşantısal kaçınma,https://www.atapamukcu.com/yasantisal-kacinma,TUR,mobile,2026-09-02,content_intent_trust,Close a documented intent/trust gap without changing the URL or canonical.,gsc,,different_class_after_28d,,,Migrated from measurements.csv: yaşantısal kaçınma
QL007,performans kaygısı nedir,https://www.atapamukcu.com/performans-kaygisi,TUR,mobile,2026-09-03,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: performans kaygısı nedir
QL008,sınav kaygısı nedir,https://www.atapamukcu.com/sinav-kaygisi,TUR,mobile,2026-09-03,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: sınav kaygısı nedir
QL009,depresyon belirtileri,https://www.atapamukcu.com/depresyon-belirtileri,TUR,mobile,2026-09-03,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: depresyon belirtileri
QL010,hayattan zevk alamama,https://www.atapamukcu.com/hayattan-zevk-alamama,TUR,mobile,2026-09-03,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: hayattan zevk alamama anhedoni
QL011,yaygın anksiyete bozukluğu nedir,https://www.atapamukcu.com/yaygin-anksiyete-bozuklugu,TUR,mobile,2026-09-04,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: yaygın anksiyete bozukluğu nedir ve yaygın anksiyete belirtileri
QL012,sürekli endişe nasıl geçer,https://www.atapamukcu.com/surekli-endise,TUR,mobile,2026-09-04,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: sürekli endişe nasıl geçer ve sürekli endişe neden olur
QL013,tükenmişlik nedir,https://www.atapamukcu.com/tukenmislik,TUR,mobile,2026-09-04,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: tükenmişlik nedir ve tükenmişlik belirtileri
QL014,bilişsel çarpıtmalar nedir,https://www.atapamukcu.com/bilissel-carpitmalar,TUR,mobile,2026-09-05,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: bilişsel çarpıtmalar nedir
